Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
1682	1033.41	0.614396	1046.86	0.622391	712.57	0.423644	1033.41	1046.86	27.3806	0.0162786	21.2036	0.0126062	543725	65	177018	125294	11127	126	2466
1778	277.04	0.155815	504.928	0.283987	337.848	0.190016	277.04	504.928	6737.1	3.78915	5099.43	2.86807	2280089	2604351	1290633	229282	215902	38536	0
2263	105.738	0.0467247	354.56	0.156677	313.74	0.138639	105.738	354.56	53.397	0.0235957	90.1874	0.039853	1772212	117426	116951	105354	1219	4876	0
1240	7615.99	6.14193	236.672	0.190864	351.844	0.283745	7615.99	236.672	290.441	0.234226	213.955	0.172544	1441	208008	15925	17264	6025	4637	5804
588	0	0	299.494	0.509344	77.8513	0.1324	0	299.494	12.9352	0.0219987	5.70867	0.00970862	315056	12616	87345	46490	67794	238	403857
888	2286.92	2.57536	469.631	0.528864	465.602	0.524327	2286.92	469.631	132.635	0.149364	129.908	0.146293	33627	424875	10247	11114	10876	2648	4842
1258	105.738	0.0840524	0	0	0	0	105.738	0	8.7548	0.0069593	14.3916	0.0114401	777375	3484857	142672	328266	90572	2425	10390
1279	632.915	0.494851	1944.83	1.52059	176.015	0.137619	632.915	1944.83	18.779	0.0146826	57.6144	0.0450464	373246	21754	304358	139830	62133	5360	51161
766	0	0	146.043	0.190657	79.976	0.104407	0	146.043	8.59429	0.0112197	5.37286	0.00701418	52151	109114	88485	89433	32984	36159	706
889	89.1876	0.100324	92.1416	0.103646	221.902	0.249609	89.1876	92.1416	1.61234	0.00181366	13.4322	0.0151093	335045	14458	182451	183283	104829	99	0
891	0	0	0	0	0	0	0	0	0	0	0	0	717492	1469935	540	67556	809	682	28865
1760	277.165	0.15748	53.4667	0.0303788	34.0342	0.0193376	277.165	53.4667	12.6142	0.00716716	24.8495	0.014119	83457	552762	5463	86266	86266	64666	0
1131	31.278	0.0276552	39.7192	0.0351186	22.714	0.0200831	31.278	39.7192	8.41919	0.00744403	13.4322	0.0118764	141340	3831	244536	18603	18618	18771	1022
