DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	756	2879.3	3.8086	463.084	0.612545	6650.11	8.79644	259.5	0.343254	101.702	0.134526	92.9698	0.122976	2422	1711	1377	557	0	248085	0
1	1434	4221	2.94351	316.893	0.220985	80054.1	55.8258	742.5	0.517782	1310.53	0.913897	747.884	0.521537	0	0	0	0	0	200518	0
1	4801	18045.1	3.75861	1554.29	0.323743	711.011	0.148096	3257.5	0.678504	650.401	0.135472	491.809	0.102439	724	5750	16332	7852	16027	6664	0
1	700	3327.58	4.75368	303.964	0.434234	66.0987	0.0944267	1841.4	2.63057	76.6556	0.109508	72.8215	0.104031	2457	11405	44030	6142	45709	144702	0
1	519	773.301	1.48998	0.49483	0.00095343	203.309	0.391732	0	0	48.611	0.0936629	65.3379	0.125892	6667	1044	2593	2573	2199	97684	39
1	691	65.611	0.0949507	0	0	0	0	259.1	0.374964	6.36912	0.00921725	11.0815	0.0160369	0	3961	9366	9462	7530	111842	57561
1	704	0	0	714.384	1.01475	0	0	319.9	0.454403	1.45913	0.00207263	2.3986	0.0034071	0	790	56592	16961	158791	51986	210177
1	5921	30036.1	5.07281	2504.94	0.42306	1365.5	0.23062	4911.3	0.829471	208.423	0.0352006	274.4	0.0463435	7994	1150	5291	4512	4020	81159	0
1	775	105.738	0.136436	231.744	0.299024	0	0	359.6	0.464	16.3058	0.0210398	28.7832	0.0371396	14112	12473	392634	49709	391271	92240	379682
1	1436	105.738	0.0736336	118.892	0.0827941	0	0	164.5	0.117668	7.36862	0.00513135	7.67552	0.00534507	10913	4252	76214	31374	154297	10921	394415
1	1270	182.235	0.143492	545.868	0.429817	55.8581	0.0439828	407.3	0.418602	11.1624	0.00878927	5.27692	0.00415506	16617	3190	2431	2431	54412	62551	83170
1	465	90.8076	0.195285	508.636	1.09384	137.286	0.295239	123.1	0.264731	9.92211	0.0213379	14.3916	0.0309497	19202	10976	43903	14649	42822	146368	31911
1	1263	207.021	0.163912	230.314	0.182354	77.064	0.0610166	209.5	0.165875	11.1259	0.00880909	16.7422	0.0132559	6166	2381	2402	2402	2106	304575	8299
1	927	211.476	0.228129	68.3631	0.0737466	0	0	0	0	16.1015	0.0173695	87.0212	0.093874	0	4912	42572	0	37735	100045	63957
1	1095	1047.76	0.956859	159.857	0.145988	33.4204	0.0305209	428.9	0.391689	15.4814	0.0141383	65.2419	0.0595817	3291	5815	112472	39951	194772	205966	1980
1	872	0	0	118.892	0.136344	0	0	430.4	0.493578	9.54273	0.0109435	7.67552	0.0088022	10799	5813	61247	17927	67386	68510	901623
1	852	355.844	0.417657	425.162	0.499016	135.655	0.159219	687.9	0.807394	12.2275	0.0143516	28.7832	0.0337831	32451	15896	15186	15426	14478	92754	26548
1	536	194.142	0.362206	229.096	0.427418	139.934	0.261071	0	0	3.10795	0.00579841	17.4138	0.0324885	12390	2002	3099	2218	68010	9410	118463
1	553	93.9309	0.169857	222.682	0.40268	79.3816	0.143547	154.2	0.278843	13.9493	0.0252248	17.4138	0.0314898	1777	6372	28081	28061	216725	76843	117855
1	518	99.3002	0.191699	212.322	0.409889	0	0	415.5	0.802124	4.15123	0.00801395	0	0	31367	3253	4847	4792	7797	7745	419299
1	744	0	0	212.954	0.286228	19.1295	0.0257117	0	0	4.76407	0.00640332	12.9524	0.0174092	20269	6076	6210	4506	269178	270723	307084
1	870	285.922	0.328646	162.912	0.187256	32.1376	0.0369397	340.9	0.391839	14.1171	0.0162266	17.5098	0.0201262	6083	2786	7566	7236	26490	1122741	81795
1	615	0	0	0	0	72.6921	0.118199	15.5	0.0252033	3.31953	0.0053976	14.3916	0.023401	4752	5567	224890	15767	490032	2026572	821030
1	780	0	0	108.875	0.139583	60.3093	0.0773196	7.1	0.00910256	5.64684	0.00723954	13.1443	0.0168517	5517	9929	900368	14580	968126	1055025	1417389
1	803	41.6489	0.0518666	321.495	0.400367	110.951	0.138171	29.1	0.0362391	12.2421	0.0152455	57.5664	0.0716892	7470	3400	828040	53369	895798	982697	1345061
1	865	105.738	0.12224	83.1414	0.0961173	123.194	0.142421	44	0.0582781	5.48634	0.00634259	18.0375	0.0208526	11281	5050	254143	28281	321901	408800	771164
1	396	0	0	68.3065	0.172491	0	0	0	0	0.642018	0.00162126	14.3916	0.0363424	0	9502	29869	26889	27983	146200	215650
1	675	0	0	0	0	0	0	0	0	2.33461	0.00345868	0	0	17925	6985	375743	33532	1420042	2335421	1510654
1	771	114.826	0.148931	0	0	61.9338	0.0803291	69.9	0.0906615	9.88562	0.0128218	10.0741	0.0130663	54679	5982	643975	41897	1050706	1916424	1091657
1	1493	132.607	0.088819	435.896	0.29196	256.121	0.171548	740.1	0.495713	16.4663	0.011029	24.1779	0.0161942	4291	2854	52478	26868	250305	453305	56217
1	747	51.6342	0.0691221	144.617	0.193597	88.0218	0.117834	375.9	0.634966	3.34141	0.00447311	11.7052	0.0156696	16117	6010	42249	11057	92185	918801	85404
1	720	20.2446	0.0281175	16.8242	0.023367	115.541	0.160473	554.1	0.769583	5.46445	0.00758951	0	0	525	1721	19888	14704	540664	418310	722231
