DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	762	555.954	0.729598	212.003	0.278219	221.897	0.291203	77.2	0.101312	16.4736	0.0216189	37.8019	0.0496088
1	407	0	0	237.79	0.584251	0	0	278.4	0.684029	5.15803	0.0126733	15.3511	0.0377176
1	1142	0	0	32.999	0.0288958	0	0	165.6	0.156818	11.8628	0.0103877	20.1483	0.017643
1	1035	8.27514	0.0079953	156.55	0.151256	0	0	201.4	0.228345	1.96983	0.00190322	15.1112	0.0146002
1	837	0	0	9.9077	0.0118372	0	0	63.2	0.0755078	7.7334	0.00923943	22.0671	0.0263646
1	371	0	0	0	0	0	0	79	0.212938	1.54668	0.00416895	6.71608	0.0181026
1	728	105.738	0.145244	0	0	0	0	189.8	0.362906	5.3842	0.00739588	0	0
1	759	0	0	0	0	0	0	116.2	0.153096	4.80784	0.00633444	3.35804	0.0044243
1	631	209.624	0.33221	12.88	0.0204121	0	0	0	0	7.83554	0.0124177	12.8085	0.0202988
1	359	0	0	0	0	0	0	0	0	0	0	0	0
1	650	221.59	0.340907	214.006	0.32924	58.1537	0.0894672	69	0.106154	7.15704	0.0110108	0	0
1	458	0	0	0	0	0	0	0	0	4.78595	0.0104497	21.1077	0.0460867
1	634	111.255	0.175481	0	0	0	0	0	0	3.75727	0.00592629	12.1849	0.0192191
1	380	0	0	0	0	0	0	71.4	0.187895	1.45913	0.00383983	6.47622	0.0170427
1	324	84.5903	0.261081	0	0	0	0	69	0.212963	1.3424	0.00414321	12.6646	0.0390883
1	429	52.5058	0.122391	2.94516	0.00686517	0	0	0	0	1.63423	0.00380939	0	0
1	1082	317.215	0.293175	0	0	0	0	71.1	0.0657116	6.56609	0.00606848	0	0
1	915	86.0841	0.094081	0	0	204.303	0.223283	357	0.390164	7.76258	0.0084837	1.5351	0.00167771
1	1794	46.2688	0.0257908	89.4678	0.0498706	0	0	32.3	0.0180045	11.8628	0.00661246	9.64237	0.00537479
1	802	32.959	0.041096	69.0855	0.0861416	0	0	1247.7	2.53083	8.60888	0.0107343	18.6611	0.0232682
1	2507	302.503	0.120663	221.932	0.0885251	221.902	0.088513	1432.8	1.28157	86.2494	0.0344034	36.4587	0.0145428
1	986	104.163	0.105641	163.06	0.165375	172.729	0.175181	2612.1	2.64919	47.772	0.0484503	79.3457	0.0804723
1	893	0	0	0	0	0	0	0	0	1.53939	0.00172384	0	0
1	492	0	0	0	0	0	0	192.9	0.392073	10.5349	0.0214125	3.45398	0.00702029
1	1051	145.275	0.138225	118.892	0.113123	0	0	0	0	2.74317	0.00261006	16.5503	0.0157472
1	706	272.138	0.385464	118.892	0.168403	20.7805	0.0294342	120.6	0.170822	6.13565	0.00869072	4.17356	0.00591156
1	604	0	0	181.311	0.300184	149.957	0.248273	124.9	0.206788	10.2431	0.0169588	22.0671	0.036535
1	773	0	0	214.499	0.277489	0	0	55.5	0.0717982	8.67455	0.0112219	27.2481	0.0352498
1	878	122.902	0.139979	475.609	0.541696	110.951	0.126368	255.6	0.291116	10.71	0.0121982	11.2254	0.0127852
1	950	77.2346	0.0812996	0	0	0	0	215.7	0.249653	12.782	0.0134547	13.4322	0.0141391
1	488	226.96	0.465081	350.441	0.718116	59.9209	0.122789	298.1	0.610861	12.782	0.0261926	8.0593	0.016515
1	468	0	0	51.52	0.110086	30.6072	0.0654	7.9	0.0168803	7.19352	0.0153708	11.945	0.0255236
1	451	11.953	0.0265033	0	0	0	0	15.3	0.0339246	2.07197	0.00459417	15.3511	0.0340378
1	1099	118.61	0.107926	0	0	0	0	0	0	18.1808	0.016543	16.1186	0.0146666
1	564	139.758	0.247798	118.892	0.210802	0	0	90.7	0.160816	1.16731	0.00206969	0	0
1	1096	0	0	656.28	0.598796	110.951	0.101233	187.6	0.171168	21.6827	0.0197835	23.0266	0.0210096
1	680	178.403	0.262358	262.709	0.386337	0	0	402.7	0.592206	2.1887	0.00321867	6.71608	0.00987659
1	619	0	0	237.785	0.384143	0	0	0	0	3.49462	0.00564559	0	0
1	1032	45.973	0.0445475	173.394	0.168017	0	0	227.4	0.220349	3.38518	0.00328022	29.215	0.0283091
1	611	153.55	0.251309	868.953	1.42218	3.06072	0.00500936	155.5	0.254501	16.8749	0.0276185	63.9467	0.104659
1	831	125.966	0.151584	0	0	0	0	571.6	0.687846	13.5043	0.0162506	22.0671	0.0265549
1	329	93.7849	0.285061	0	0	54.3278	0.16513	446.1	1.35593	5.43527	0.0165206	13.672	0.0415563
1	900	266.644	0.296271	533.079	0.59231	44.3804	0.0493116	0	0	2.74317	0.00304796	22.0671	0.024519
1	1063	694.628	0.65346	491.676	0.462536	187.59	0.176472	955.8	0.899153	10.5568	0.00993116	7.67552	0.00722062
1	548	102.541	0.187119	57.6519	0.105204	0	0	0	0	1.02139	0.00186386	7.67552	0.0140064
1	643	184.031	0.286206	0	0	0	0	127.4	0.198134	7.94498	0.0123561	13.4322	0.0208899
1	526	0	0	12.8288	0.0243893	0	0	68.6	0.130418	3.57487	0.00679634	0	0
1	505	0	0	0	0	0	0	385	0.762376	2.53889	0.0050275	1.15133	0.00227986
1	545	0	0	216.83	0.397853	178.259	0.327081	1306.9	2.39798	26.4687	0.0485664	5.42084	0.00994649
1	727	152.317	0.209514	0	0	0	0	34.4	0.0473177	9.5792	0.0131763	3.54993	0.00488298
1	532	56.767	0.106705	0	0	0	0	201.2	0.378195	0.693089	0.0013028	0	0
1	605	309.513	0.511592	241.885	0.39981	72.2584	0.119435	303.2	0.501157	6.39101	0.0105636	9.97818	0.0164929
1	919	306.189	0.333176	229.349	0.249564	0	0	196.6	0.213928	4.18771	0.00455682	0	0
1	684	105.738	0.154588	0	0	4.59108	0.00671211	183.8	0.268713	8.0763	0.0118075	0	0
1	456	114.933	0.252046	61.4277	0.13471	0	0	141.1	0.30943	3.76456	0.00825561	1.87091	0.00410287
1	1261	105.738	0.0838524	237.785	0.188568	110.951	0.0879866	0	0	7.74069	0.00613854	0	0
1	620	39.3631	0.0634889	6.92795	0.0111741	0	0	54.1	0.0872581	10.0534	0.0162152	0	0
1	712	0	0	0	0	0	0	103	0.410359	0.941141	0.00132183	4.26951	0.0059965
1	832	0	0	0	0	0	0	0	0	2.1887	0.00263064	14.3916	0.0172976
1	885	335.27	0.378836	165.272	0.186748	121.743	0.137562	2106.2	2.37989	46.1451	0.0521413	65.7217	0.0742618
1	1754	600.779	0.342519	519.401	0.296124	229.088	0.130609	6037.9	3.44236	75.6488	0.0431293	74.7884	0.0426388
1	636	0	0	0	0	0	0	0	0	2.04278	0.00321192	0	0
1	960	6.43622	0.0067044	12.88	0.0134167	48.9715	0.051012	95.3	0.0992708	5.93867	0.00618611	1.10336	0.00114933
1	695	144.057	0.207276	27.2147	0.0391578	114.047	0.164096	0	0	4.94646	0.00711721	0	0
1	651	210.682	0.323629	106.99	0.164347	110.951	0.170432	80	0.122888	7.54371	0.0115879	34.5399	0.0530566
1	805	211.571	0.262821	0	0	0	0	32.2	0.04	4.23148	0.0052565	13.4322	0.0166859
1	1395	47.9686	0.0343861	8.08202	0.00579356	0	0	284.9	0.486177	2.27625	0.00163172	11.3214	0.00811569
1	689	0	0	118.892	0.172558	0	0	234.9	0.340929	4.18771	0.00607795	0	0
1	642	105.738	0.164701	713.4	1.11122	110.951	0.172821	69	0.107477	11.5709	0.0180232	13.4322	0.0209224
1	484	0	0	54.3907	0.112378	50.8207	0.105002	66.8	0.138017	2.24706	0.00464269	5.56475	0.0114974
1	490	226.028	0.461282	0	0	2021.28	4.12506	143.8	0.293469	23.2732	0.0474963	5.42084	0.0110629
1	1411	105.738	0.0749383	0	0	0	0	122.1	0.214965	2.1887	0.00155117	0	0
1	839	0	0	237.809	0.283444	0	0	122.9	0.216755	1.16731	0.00139131	6.71608	0.00800486
