DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	338	0	0	0	0	0	0	69	0.204142	0.423149	0.00125192	0	0	13452	529	112041	28636	28369	791438	1055785
1	715	105.738	0.147885	99.5507	0.139232	156.44	0.218798	94.9	0.132727	3.06418	0.00428557	19.6685	0.0275084	1233	1601	31856	101670	237366	1299866	927709
1	986	0	0	68.3631	0.0693338	0	0	118.1	0.354655	1.12353	0.00113948	36.6986	0.0372197	16791	4016	705744	20402	704972	1885980	1004707
1	750	212.16	0.28288	0	0	0	0	69.7	0.0929333	7.52912	0.0100388	14.0078	0.0186771	4104	10265	1088099	37026	1097011	1494177	1396746
1	515	252.851	0.490974	237.785	0.461718	3.8259	0.00742893	0	0	7.3978	0.0143647	15.6389	0.0303668	749	8309	931602	90002	968166	1337680	1553478
1	1014	163.664	0.161404	75.3057	0.0742659	20.6599	0.0203746	74.2	0.0731755	8.71102	0.00859075	6.71608	0.00662335	0	14512	153072	20587	152936	89949	2800710
1	948	113.936	0.120186	181.502	0.191457	0	0	199.7	0.210654	3.41437	0.00360166	2.25468	0.00237836	15921	6074	122386	905	1178120	1322326	1438067
1	701	0	0	112.529	0.160526	0	0	228.4	0.32582	5.72709	0.00816989	0	0	2052	1025	47016	1132	358418	368138	598296
1	515	6.71928	0.0130471	118.396	0.229896	0	0	231	0.448544	1.92606	0.00373992	29.6467	0.0575664	6541	27423	79795	79775	635481	1141301	896835
1	522	94.7044	0.181426	0	0	110.951	0.21255	544.6	1.0433	3.24657	0.00621948	7.67552	0.0147041	0	9993	9604	9584	9391	432361	12090
1	495	226.835	0.458252	95.8088	0.193553	0	0	131.3	0.265253	9.55732	0.0193077	7.67552	0.0155061	10951	40062	15148	15141	585826	104261	590473
1	362	611.444	1.68907	0	0	0	0	73.6	0.203315	0.984915	0.00272076	14.3916	0.0397558	3934	5071	5156	5136	4593	64870	939
1	484	100.009	0.206629	0	0	0	0	0	0	5.20911	0.0107626	0.287832	0.000594694	0	956	617896	1375	590781	660668	598822
1	1078	270.491	0.25092	0	0	101.502	0.0941573	25.8	0.0308982	9.92211	0.00920418	24.3698	0.0226065	21008	5746	58415	5817	105189	908649	81908
1	535	205.96	0.384971	0	0	0	0	0	0	8.70373	0.0162686	10.8417	0.0202648	16807	26575	543567	87727	2993062	2770503	3163100
1	1804	273.999	0.151884	118.892	0.0659049	0	0	113.3	0.0628049	14.1536	0.00784567	13.4322	0.00744577	0	893	75309	72240	246311	5267034	1431243
1	1222	88.8986	0.0727485	0	0	0	0	206.6	0.246246	5.85112	0.00478815	0	0	11056	5006	1780383	94619	1780138	1780116	4918743
1	622	0	0	0	0	110.951	0.178378	0	0	7.87932	0.0126677	6.71608	0.0107976	0	2607	20203	48119	265114	5746719	5702671
1	745	0	0	0	0	0	0	1187.1	1.59342	1.16731	0.00156685	1.67902	0.00225372	0	0	632519	47701	631008	632236	673669
1	687	0	0	315.456	0.459179	0	0	302.7	0.440611	2.8672	0.00417351	3.50196	0.00509746	33092	21089	94108	4726	335106	906771	342814
1	1029	105.738	0.102758	31.1752	0.0302966	3.23253	0.00314143	134.8	0.131001	14.0806	0.0136838	34.3959	0.0334266	2683	182	904	904	33802	84218	43436
