Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
545	147.114	0.269935	106.022	0.194536	0	0	144.7	0.265505	4.08557	0.00749646	15.351	0.0281671	3934	449	9037	9047	696748	415527	662772
654	0	0	119.882	0.183306	0	0	94.2	0.144037	11.6512	0.0178153	0	0	1464	0	10274	10245	4261	106681	1676
974	663.571	0.681284	678.702	0.696819	161.883	0.166205	775.6	0.796304	22.1788	0.0227709	18.6131	0.01911	89799	44376	246739	224270	443459	2517147	567581
642	45.9209	0.0715279	212.503	0.331002	0	0	3.4	0.00529595	6.31075	0.00982983	11.993	0.0186807	0	352	873208	22898	117616	1868214	2851362
436	237.221	0.544084	0	0	81.1091	0.18603	116.6	0.267431	0.408558	0.000937059	16.4064	0.0376294	0	22349	117566	75706	115971	2188124	114228
778	559.536	0.719197	354.072	0.455106	68.7361	0.0883497	691.7	0.889075	15.6419	0.0201053	7.67552	0.00986571	5152	2718	56681	55421	56142	152814	976
512	1.7604	0.00343828	93.0793	0.181795	0	0	0	0	4.49413	0.0087776	0.767552	0.00149913	47354	4641	175883	23295	174581	48718	291800
1340	189.905	0.14172	274.443	0.204808	110.951	0.0827993	176	0.131343	17.5388	0.0130886	22.0671	0.016468	9859	10765	38918	32771	316515	317654	925871
603	387.32	0.642323	280.74	0.465572	142.875	0.23694	65.9	0.109287	8.33894	0.0138291	0	0	17584	986	310890	28579	700594	1425727	661969
4337	646.084	0.14897	648.818	0.149601	232.007	0.0534949	9072.9	3.03848	48.093	0.011089	81.5524	0.0188039	14988	0	1167717	0	1224778	1513846	1306798
708	0	0	356.703	0.503817	45.9108	0.0648458	281	0.396893	6.9163	0.00976878	43.5586	0.0615234	106805	748	63817	8017	58435	117236	1880602
370	62.682	0.169411	73.2365	0.197937	0	0	0	0	2.45134	0.00662525	10.9376	0.0295611	1957	526	234157	3781	1107536	47647	1092281
923	371.237	0.402207	60.4103	0.06545	95.1748	0.103115	76	0.0823402	23.9517	0.0259498	7.67552	0.00831584	13197	1085	11389	7222	10756	20016	13832
852	422.328	0.49569	526.974	0.618514	110.951	0.130224	76.6	0.0899061	20.9021	0.024533	35.6432	0.0418347	38593	1620	795662	61802	875562	2364930	2117422
1149	0	0	0	0	0	0	632.7	0.611896	9.38951	0.0081719	0	0	14942	10210	509442	172902	633736	816501	1083347
1049	0	0	521.4	0.497044	5636.75	5.37345	150	0.142993	222.409	0.21202	116.716	0.111264	72128	3271	69747	54787	128793	75108	135144
397	260.532	0.656251	267.561	0.673958	158.463	0.399152	196.9	0.539452	31.8383	0.0801972	10.5059	0.0264632	22014	2665	987527	33639	986828	811142	1641495
649	51.3657	0.0791459	68.3065	0.105249	0	0	64.3	0.0990755	6.25967	0.00964511	6.71608	0.0103484	622	8035	209846	16559	108583	128712	144534
820	0	0	0	0	0	0	344.8	0.49971	3.21009	0.00391475	2.30266	0.00280812	10389	144407	296618	294895	304931	141627	1413699
299	0	0	0	0	0	0	44.3	0.582895	1.37158	0.00458724	6.90798	0.0231036	0	9831	81479	81499	82094	1923444	52309
778	182.95	0.235155	248.692	0.319655	109.421	0.140644	0	0	6.56609	0.00843971	24.8495	0.0319402	100899	19996	947729	647269	947529	1217630	1310743
532	56.767	0.106705	0	0	0	0	201.2	0.378195	0.693089	0.0013028	0	0	0	3692	52476	31916	52212	266985	54504
1069	33.6584	0.0314859	59.689	0.0558363	0	0	331.2	0.322179	6.21591	0.00581469	14.3916	0.0134627	7682	6504	572554	156945	572189	3398026	1699540
580	77.2053	0.133113	286.783	0.494454	0	0	69.5	0.119828	10.0388	0.0173083	21.1077	0.0363926	5865	23928	148148	29087	337326	143643	410992
336	0	0	175.372	0.521941	0	0	0	0	1.02139	0.00303986	7.48363	0.0222727	53751	1004	16341	1048	13253	291747	2788
545	80.905	0.14845	215.113	0.394702	48.762	0.0894716	218.4	0.400734	10.8778	0.0199593	15.6389	0.0286952	2895	12791	55683	55707	68407	191830	11103
758	317.641	0.419051	168.27	0.221992	0	0	166.2	0.219261	6.86522	0.00905702	7.67552	0.010126	0	21247	1098155	6528	1097910	1097888	5601511
541	159.472	0.294773	58.5362	0.1082	0	0	164.7	0.304436	14.9123	0.0275644	21.1557	0.0391047	13994	1868	225843	32337	213490	212063	88916
545	252.98	0.464183	87.1878	0.159978	0	0	123.1	0.225872	5.11426	0.00938396	21.1077	0.0387297	1129510	672	146685	22838	176029	2575313	499068
1608	959.859	0.596927	1121.28	0.697316	591.331	0.367743	1680.8	1.04527	10.4766	0.00651528	0	0	1945	5673	140372	42554	366504	6016	369834
463	88.1978	0.190492	141.876	0.306428	61.2526	0.132295	782.3	1.68963	14.6351	0.0316093	22.6428	0.0489045	6842	0	31875	3462	40537	40166	74593
571	0	0	0	0	0	0	0	0	0	0	0	0	28238	0	233302	35119	502898	327189	517373
669	190.816	0.285226	403.613	0.603308	0	0	6.9	0.0103139	0.780637	0.00116687	19.5246	0.0291848	15627	11148	283043	7017	676975	1564991	563436
380	67.7181	0.178205	23.9007	0.0628967	0	0	25.8	0.0678947	2.8453	0.00748764	3.11818	0.00820574	37264	9523	226098	12379	314929	114268	319576
417	0	0	0	0	0	0	0	0	1.30592	0.00313171	2.54252	0.00609716	4518	2343	185374	31164	776703	1733984	1330337
984	0	0	0	0	0	0	0	0	0	0	0	0	13645	2570	367981	2697	1448444	1691462	2248810
745	51.4898	0.0691138	79.2172	0.106332	67.3543	0.0904084	123.1	0.165235	12.9936	0.0174411	22.9786	0.0308438	0	16882	797417	62898	801014	2777305	1350873
