"Size" "Sum_H3K36me3" "Mean_H3K36me3" "Sum_H3K27me3" "Mean_H3K27me3" "Sum_H3K4me3" "Mean_H3K4me3" "Sum_CTCF" "Mean_CTCF" "Sum_DNaseIHSS1" "Mean_DNaseIHSS1" "Sum_DNaseIHSS2" "Mean_DNaseIHSS2" "DistanceToOrigin" "DistanceToCTCF" "DistanceToDNaseIHSS1" "DistanceToDNaseIHSS2" "DistanceToH3K4me3" "DistanceToH3K27me3" "DistanceToH3K36me3"
"2164" "779" "4560.01" "5.85367" "208.337" "0.267442" "0" "0" "0.1" "0.00012837" "99.9068" "0.12825" "80.6889" "0.10358" "10496" "6997" "19216" "18396" "91613" "28745" "68544"
"2184" "763" "0" "0" "303.098" "0.397245" "60.949" "0.0798808" "42.2" "0.055308" "3.15173" "0.0041307" "13.4322" "0.0176044" "0" "18717" "180982" "26002" "214647" "1286929" "1198824"
"1709" "926" "184.922" "0.199699" "201.538" "0.217644" "27.3978" "0.0295872" "385.1" "0.415875" "8.51404" "0.00919443" "19.4287" "0.0209813" "87" "214" "5337" "5337" "5517" "13176" "82094"
"3617" "766" "9.1946" "0.0120034" "0" "0" "0" "0" "0" "0" "1.06517" "0.00139056" "6.66811" "0.0087051" "5330" "3207" "242542" "32102" "242279" "9489646" "2584925"
"3910" "2507" "302.503" "0.120663" "221.932" "0.0885251" "221.902" "0.088513" "1432.8" "1.28157" "86.2494" "0.0344034" "36.4587" "0.0145428" "532481" "36153" "1226945" "0" "35023" "1347409" "1362335"
"1321" "754" "0" "0" "0" "0" "0" "0" "318.7" "0.422679" "13.6356" "0.0180844" "16.2625" "0.0215683" "8339" "300" "703461" "306249" "1019312" "2673915" "2182723"
"3367" "480" "182.973" "0.381193" "514.25" "1.07135" "47.4412" "0.0988357" "2234.7" "4.65562" "7.26648" "0.0151385" "39.529" "0.082352" "23441" "64545" "2181" "2201" "317636" "2044678" "638001"
"2617" "593" "48.7314" "0.0821777" "118.892" "0.200493" "0" "0" "0" "0" "7.39051" "0.0124629" "1.91888" "0.00323589" "0" "1009" "1246" "1226" "7284" "280309" "14802"
"2519" "425" "2.49585" "0.00587259" "0" "0" "48.5113" "0.114144" "1.9" "0.00447059" "6.7339" "0.0158445" "9.73832" "0.0229137" "5555" "5022" "17871" "5770" "17933" "195545" "98270"
"217" "911" "285.033" "0.312879" "0" "0" "110.951" "0.12179" "599.5" "0.658068" "3.21009" "0.0035237" "6.71608" "0.00737221" "0" "5222" "23986" "23966" "22700" "282342" "160795"
"3671" "476" "83.208" "0.174807" "41.092" "0.0863277" "0" "0" "504.2" "1.92443" "6.80686" "0.0143001" "10.6978" "0.0224743" "0" "10499" "37868" "1279" "568400" "1963723" "665493"
"953" "1524" "211.476" "0.138764" "0" "0" "96.4127" "0.0632629" "234.3" "0.15374" "12.7236" "0.00834884" "22.4989" "0.014763" "5508" "9927" "2814236" "159956" "692477" "8319930" "2818089"
"2237" "799" "103.574" "0.12963" "348.988" "0.436781" "107.391" "0.134407" "148.4" "0.185732" "7.20812" "0.00902142" "14.3916" "0.018012" "3431" "22182" "290828" "165026" "290491" "194484" "293168"
"2499" "900" "0" "0" "51.4734" "0.0571927" "0" "0" "0" "0" "10.265" "0.0114056" "14.3916" "0.0159907" "0" "7659" "465162" "325569" "595137" "797425" "906771"
